2023-10-11 00:00:00,005 | apscheduler.scheduler | DEBUG | base | _process_jobs | Looking for jobs to run
2023-10-11 00:00:00,192 | apscheduler.scheduler | DEBUG | base | _process_jobs | Next wakeup is due at 2023-10-11 00:01:00-04:00 (in 59.807243 seconds)
2023-10-11 00:00:00,192 | apscheduler.executors.default | INFO | base | run_job | Running job "trim_operation (trigger: cron[hour='0', minute='0'], next run at: 2023-10-12 00:00:00 EDT)" (scheduled at 2023-10-11 00:00:00-04:00)
2023-10-11 00:00:00,193 | root | DEBUG | logger_file | log | trim_operation() Time: 2023-10-11 00:00:00.193703
2023-10-11 00:00:00,694 | root | DEBUG | logger_file | log | trim_operation() rows_deleted: 17273
2023-10-11 00:00:00,694 | apscheduler.executors.default | INFO | base | run_job | Job "trim_operation (trigger: cron[hour='0', minute='0'], next run at: 2023-10-12 00:00:00 EDT)" executed successfully
2023-10-11 00:00:04,398 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996803,"target":...bar_absolute":29.795}]}' [2454 bytes]
2023-10-11 00:00:04,399 | root | DEBUG | logger_file | log | next_ts: 1696996803, (count == 0 or last_data is None)
2023-10-11 00:00:04,406 | root | DEBUG | logger_file | log | Midnight Record - data: [1696996800, 72.5, 88.7, 69, 74.5]
2023-10-11 00:00:04,406 | root | DEBUG | logger_file | log | next_ts: 1696996803, (count == 1 and last_data is not None)
2023-10-11 00:00:04,406 | root | DEBUG | logger_file | log | Midnight Record - data: [1696996800, 72.5, 88.7, 69.0, 74.5]
2023-10-11 00:00:08,794 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996808,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:00:13,795 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996813,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:00:18,793 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996818,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:00:23,796 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996823,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:00:29,055 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
2023-10-11 00:00:29,055 | websockets.client | DEBUG | protocol | write_frame_sync | > PING d7 3e 59 2b [binary, 4 bytes]
2023-10-11 00:00:29,081 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996828,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:00:29,210 | websockets.client | DEBUG | protocol | read_frame | < PONG d7 3e 59 2b [binary, 4 bytes]
2023-10-11 00:00:29,210 | websockets.client | DEBUG | protocol | keepalive_ping | % received keepalive pong
2023-10-11 00:00:33,794 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996833,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:00:38,806 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996838,"target":...bar_absolute":29.794}]}' [2454 bytes]
2023-10-11 00:00:43,813 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996843,"target":...bar_absolute":29.794}]}' [2458 bytes]
2023-10-11 00:00:48,804 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996848,"target":...bar_absolute":29.794}]}' [2458 bytes]
2023-10-11 00:00:53,808 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1696996853,"target":...bar_absolute":29.794}]}' [2458 bytes]
