2023-09-10 19:35:25,684 | root | INFO | logger_file | log | ##### Main Starting in SQLite_WSS_Data #####
2023-09-10 19:35:25,684 | asyncio | DEBUG | proactor_events | __init__ | Using proactor: IocpProactor
2023-09-10 19:35:25,775 | websockets.client | DEBUG | protocol | __init__ | = connection is CONNECTING
2023-09-10 19:35:25,842 | websockets.client | DEBUG | client | write_http_request | > GET /?target=001D0A71267A HTTP/1.1
2023-09-10 19:35:25,842 | websockets.client | DEBUG | client | write_http_request | > Host: websockets.weatherstem.com
2023-09-10 19:35:25,842 | websockets.client | DEBUG | client | write_http_request | > Upgrade: websocket
2023-09-10 19:35:25,842 | websockets.client | DEBUG | client | write_http_request | > Connection: Upgrade
2023-09-10 19:35:25,842 | websockets.client | DEBUG | client | write_http_request | > Sec-WebSocket-Key: aK6hrphjsWcDfcPXUgiTPw==
2023-09-10 19:35:25,842 | websockets.client | DEBUG | client | write_http_request | > Sec-WebSocket-Version: 13
2023-09-10 19:35:25,842 | websockets.client | DEBUG | client | write_http_request | > Sec-WebSocket-Extensions: permessage-deflate; client_max_window_bits
2023-09-10 19:35:25,842 | websockets.client | DEBUG | client | write_http_request | > User-Agent: Python/3.10 websockets/11.0.3
2023-09-10 19:35:25,921 | websockets.client | DEBUG | client | read_http_response | < HTTP/1.1 101 Switching Protocols
2023-09-10 19:35:25,921 | websockets.client | DEBUG | client | read_http_response | < Upgrade: websocket
2023-09-10 19:35:25,921 | websockets.client | DEBUG | client | read_http_response | < Connection: Upgrade
2023-09-10 19:35:25,921 | websockets.client | DEBUG | client | read_http_response | < Sec-WebSocket-Accept: j7FfW4pP0kcFdPIcfXagDIIw6XU=
2023-09-10 19:35:25,921 | websockets.client | DEBUG | protocol | connection_open | = connection is OPEN
2023-09-10 19:35:28,727 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388928,"target":..."bar_absolute":29.85}]}' [2482 bytes]
2023-09-10 19:35:33,752 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388933,"target":..."bar_absolute":29.85}]}' [2482 bytes]
2023-09-10 19:35:38,751 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388938,"target":..."bar_absolute":29.85}]}' [2482 bytes]
2023-09-10 19:35:43,762 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388943,"target":..."bar_absolute":29.85}]}' [2482 bytes]
2023-09-10 19:35:48,775 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388948,"target":...bar_absolute":29.849}]}' [2484 bytes]
2023-09-10 19:35:53,749 | websockets.client | DEBUG | protocol | read_frame | < TEXT '{"did":"001D0A71267A","ts":1694388953,"target":...bar_absolute":29.849}]}' [2484 bytes]
2023-09-10 19:35:55,921 | websockets.client | DEBUG | protocol | keepalive_ping | % sending keepalive ping
